id;nombre;regpub;DESCRIPCION;CODIGORUT;ORIGEN;DESTINO;UNIDAD;DIRECC_INI;DIRECC_FIN
153;ASOCIACION DE MOTOTAXISTAS  PAMPA EL ANGEL;;SERVICIO DE TRANSPORTE EN VEHÍCULOS MENORES - MOTO TAXI;NULL;NULL;NULL;NULL;NULL;NULL
154;CONSORCIO DE TRANSPORTES Y SERVICIOS MULTIPLES BARRANCA S.A.;80125513;SERVICIO DE TRANSPORTE REGULAR DE PERSONAS - MASIVO;NULL;NULL;NULL;NULL;NULL;NULL
155;EMPRESA DE TRANSPORTE Y SERVICIO MULTIPLE BARRANCA TOURS S.R.L.;;SERVICIO DE TRANSPORTE REGULAR DE PERSONAS - MASIVO;NULL;NULL;NULL;NULL;NULL;NULL
156;TURISMO SUPE S.A.C.;80165050;SERVICIO ESPECIAL M1;SEAC 13;BARRANCA;SUPE;M1;JR. AREQUIPA;AA.HH. SAN NICOLAS
157;EMPRESA DE TRANSPORTES RAPIDO EXPRESS DE PORVENIR S.A.C.;80168882;SERVICIO ESPECIAL M1;PLAN PILOTO;BARRANCA;SUPE;;JR. VILELA;EL PORVENIR
158;"EMPRESA DE TRANSPORTES DE SERVICIOS MULTIPLES ""TURISMO PURMACANA"" S.A.";80171900;SERVICIO ESPECIAL M1;P. PILOTO;BARRANCA;SUPE;M1;JR. SAENZ PEÑA;CC.PP. VIRGEN DEL ROSARIO
159;EMPRESA DE TRANSPORTES Y SERVICIOS MULTIPLES CAPRICORNIO NORTE CHICO S.R.L.;80182113;SERVICIO ESPECIAL M1;SEAC 02;BARRANCA;PARAMONGA;M1;JR. VILELA;CA. TORIBIO LUZURIAGA
160;"EMPRESA ""EL HORIZONTE BCA"" S.R.L.";80182297;SERVICIO DE TRANSPORTE EN VEHÍCULOS MENORES - MOTO TAXI;NULL;NULL;NULL;NULL;NULL;NULL
161;EMPRESA DE TRANSPORTES DE SERVICIOS MULTIPLES 4 S.A.;40008633;SERVICIO DE TRANSPORTE REGULAR DE PERSONAS - MASIVO;SRT 01;BARRANCA;PARAMONGA;M2;AV. LAURIAMA (OVALO);URB. 7 DE JUNIO (2DA CUADRA)
162;"EMPRESA ""TRANSPORTE & SERVICIOS LOS ARENALES"" S.A.C.";80183756;SERVICIO DE TRANSPORTE EN VEHÍCULOS MENORES - MOTO TAXI;NULL;NULL;NULL;NULL;NULL;NULL
163;EMPRESA TRANSPORTISTAS NUEVO SERVICIO RAPIDO SAC;80170161;SERVICIO DE TRANSPORTE REGULAR DE PERSONAS - MASIVO;SRT 01;BARRANCA;PARAMONGA;M2;AV. LAURIAMA (OVALO);URB. 7 DE JUNIO (2DA CUADRA)
164;EMP. TRANSP. TURISMO LAS MINAS S.R.L.;80012695;SERVICIO ESPECIAL M1;SEAC 16;BARRANCA;SUPE;M1;JR. BERENICE DAVILA;PLAZA DE ARMAS
165;SERVICIOS GENERALES BARRANCA EDIKAO S.A.C.;;SERVICIO DE TRANSPORTE REGULAR DE PERSONAS - MASIVO;SRT 18;BARRANCA;PATIVILCA;M2;JR. SAENZ PEÑA;CC PP LA VEGAS
166;EMPRESA DE TRANSPORTE CORPORACION MARIANO S.A.C.;80184261;SERVICIO DE TRANSPORTE REGULAR DE PERSONAS - MASIVO;PLAN PILOTO;BARRANCA;BARRANCA;M2-C3;CA. BUENA VISTA;AV. LUZURIAGA
167;EMPRESA DE TRANSPORTE CRISTO MORADO - BARRANCA S.A.;;SERVICIO ESPECIAL M1;NULL;NULL;NULL;NULL;NULL;NULL
168;ASOC. DE MOTOTAXISTAS METRO-BCA;80194099;SERVICIO DE TRANSPORTE EN VEHÍCULOS MENORES - MOTO TAXI;NULL;NULL;NULL;NULL;NULL;NULL
169;ASOC. MOTOTAXIS METRO BARRANCA;80194099;SERVICIO DE TRANSPORTE EN VEHÍCULOS MENORES - MOTO TAXI;NULL;NULL;NULL;NULL;NULL;NULL
